,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,PKG,PKA
6149,Andrew Jacobson,VAN,M,21,19,1704,2,2,13,3,0,0/0,1,1,0.11,15.4,1,1,1,0.11,25,21,0,2,0,23.08,2017,reg,0,0
6150,Andrew Wenger,HOU,D-M,22,12,1110,2,2,21,9,0,0/0,1,1,0.16,9.5,0,1,1,0.16,6,11,2,2,0,42.86,2017,reg,0,0
6151,Ballou Jean-Yves Tabla,MTL,F,21,11,1146,2,2,26,10,1,0/0,0,2,0.16,7.7,0,2,0,0.16,26,24,1,4,0,38.46,2017,reg,0,0
6152,Gyasi Zardes,CLB,F,24,23,1987,2,2,29,10,0,0/0,1,1,0.09,6.9,0,2,0,0.09,22,32,9,3,0,34.48,2017,reg,0,0
6153,Jordan Hamilton,CLB,F,8,0,142,2,1,5,3,0,0/0,2,0,1.27,40.0,0,1,0,0.63,2,4,2,0,0,60.0,2017,reg,0,0
6154,Jonathan Lewis,COL,F,11,4,342,2,1,9,5,2,0/0,1,1,0.53,22.2,0,1,0,0.26,10,4,3,0,0,55.56,2017,reg,0,0
6155,Jack McBean,LA ,F,18,8,715,2,1,9,4,1,0/0,0,2,0.25,22.2,0,0,1,0.13,17,21,4,4,0,44.44,2017,reg,0,0
6156,Stefan Aigner,COL,M-F,9,5,488,2,1,9,3,0,0/0,2,0,0.37,22.2,1,0,1,0.18,12,12,3,2,0,33.33,2017,reg,0,0
6157,Memo Rodriguez,HOU,M,9,3,326,2,1,11,6,0,0/0,1,1,0.55,18.2,0,1,0,0.28,6,7,0,0,0,54.55,2017,reg,0,0
6158,Drew Moor,COL,D,25,24,2176,2,1,12,3,2,0/0,1,1,0.08,16.7,0,0,1,0.04,10,24,0,1,0,25.0,2017,reg,0,0
6159,Nicolas Mezquida,COL,F-M,20,8,686,2,1,12,4,0,0/0,0,2,0.26,16.7,1,0,1,0.13,14,19,2,1,0,33.33,2017,reg,0,0
6160,Leonardo,HOU,D,30,29,2616,2,1,13,2,1,0/0,2,0,0.07,15.4,0,1,0,0.03,38,6,1,3,0,15.38,2017,reg,0,0
6161,Matias Laba,VAN,M,19,19,1612,2,1,15,5,1,0/0,2,0,0.11,13.3,0,0,1,0.06,33,9,0,6,1,33.33,2017,reg,0,0
6162,Harry Shipp,SEA,M,18,11,927,2,1,15,4,1,0/0,2,0,0.19,13.3,0,1,0,0.1,6,11,2,1,0,26.67,2017,reg,0,0
6163,Marcus Epps,PHI,M,19,7,709,2,1,16,5,1,0/0,2,0,0.25,12.5,1,1,0,0.13,3,3,2,0,0,31.25,2017,reg,0,0
6164,Victor Rodriguez,SEA,M,7,5,484,2,1,17,7,2,0/0,2,0,0.37,11.8,0,1,0,0.19,2,11,2,0,0,41.18,2017,reg,0,0
6165,Marco Donadel,MTL,M,19,18,1424,2,1,19,4,0,0/0,1,1,0.13,10.5,0,0,1,0.06,38,7,0,3,1,21.05,2017,reg,0,0
6166,Dave Romney,NSH,D,29,23,2249,2,1,19,9,0,0/0,1,1,0.08,10.5,0,1,0,0.04,10,4,0,0,0,47.37,2017,reg,0,0
6167,Nick Lima,SJ,D,22,20,1809,2,1,20,6,1,0/0,2,0,0.1,10.0,0,0,1,0.05,6,27,1,2,1,30.0,2017,reg,0,0
6168,Anibal Godoy,NSH,M-D,26,24,2134,2,1,20,4,2,0/0,2,0,0.08,10.0,0,0,1,0.04,61,71,2,10,1,20.0,2017,reg,0,0
6169,Jonathan Mensah,CLB,D,26,25,2169,2,1,20,5,1,0/0,2,0,0.08,10.0,0,0,1,0.04,33,5,1,7,2,25.0,2017,reg,0,0
6170,Francisco Calvo ,CHI,D,27,27,2430,2,1,22,6,0,0/0,1,1,0.07,9.1,0,0,1,0.04,28,12,0,5,0,27.27,2017,reg,0,0
6171,Deshorn Brown,DC,F,16,10,788,2,1,22,10,0,0/0,0,2,0.23,9.1,0,1,0,0.11,7,10,10,1,0,45.45,2017,reg,0,0
6172,Ian Harkes,DC,M,25,22,1948,2,1,25,7,0,0/0,0,2,0.09,8.0,1,1,0,0.05,25,26,1,2,0,28.0,2017,reg,0,0
6173,Shkelzen Gashi,COL,M-F,17,12,1034,2,1,26,9,1,0/0,2,0,0.17,7.7,1,1,0,0.09,20,6,0,1,0,34.62,2017,reg,0,0
6174,Kofi Opare,DC,D,26,25,2214,2,1,32,8,0,0/0,2,0,0.08,6.3,1,1,0,0.04,12,12,3,2,0,25.0,2017,reg,0,0
6175,Cristian Colman,DAL,F,26,10,959,2,1,40,15,1,0/0,0,2,0.19,5.0,0,0,1,0.09,14,14,6,1,0,37.5,2017,reg,0,0
6176,Jimmy Medranda ,NSH,D,33,24,2086,2,1,49,10,0,0/0,1,1,0.09,4.1,1,0,1,0.04,19,20,4,2,0,20.41,2017,reg,0,0
6177,Anton Walkes,ATL,D,20,17,1528,2,0,7,4,1,0/0,2,0,0.12,28.6,0,0,0,0.0,11,2,1,2,0,57.14,2017,reg,0,0
6178,Sébastien Le Toux,DC ,F,16,8,732,2,0,9,4,0,0/0,0,2,0.25,22.2,0,0,0,0.0,6,6,0,1,0,44.44,2017,reg,0,0
6179,Brent Kallman,MIN,D,23,23,1942,2,0,10,4,0,0/0,1,1,0.09,20.0,0,0,0,0.0,22,17,2,7,0,40.0,2017,reg,0,0
6180,Kenwyne Jones,ATL,F,17,5,499,2,0,11,4,0,0/0,1,1,0.36,18.2,0,0,0,0.0,4,9,5,0,0,36.36,2017,reg,0,0
6181,Alexander Callens,NYC,D,34,34,3060,2,0,15,3,1,0/0,2,0,0.06,13.3,0,0,0,0.0,27,29,0,4,0,20.0,2017,reg,0,0
6182,Maxime Chanot,NYC,D,19,19,1710,2,0,16,3,0,0/0,1,1,0.11,12.5,0,0,0,0.0,17,17,0,3,0,18.75,2017,reg,0,0
6183,Michael Amir Murillo,NYR,D,17,15,1316,2,0,17,7,0,0/0,1,1,0.14,11.8,0,0,0,0.0,17,20,0,3,0,41.18,2017,reg,0,0
6184,Tomas Martinez,HOU,M,9,5,501,2,0,18,5,0,0/0,2,0,0.36,11.1,0,0,0,0.0,5,13,1,2,0,27.78,2017,reg,0,0
6185,Matt Hedges,DAL,D,27,27,2425,2,0,25,9,1,0/0,1,1,0.07,8.0,0,0,0,0.0,21,18,0,7,0,36.0,2017,reg,0,0
6186,Joevin Jones,SEA,D-M,30,28,2451,1,11,27,6,0,0/0,0,1,0.04,3.7,2,8,3,0.4,14,34,6,4,1,22.22,2017,reg,0,0
6187,Matt Polster,NE,D,22,21,1769,1,7,9,3,0,0/0,1,0,0.05,11.1,3,4,3,0.36,24,21,2,3,0,33.33,2017,reg,0,0
6188,Kelyn Rowe,NE,M,23,21,1897,1,7,34,10,1,0/0,0,1,0.05,2.9,2,5,2,0.33,31,38,3,3,0,29.41,2017,reg,0,0
6189,Raheem Edwards,MIN,M,21,10,1058,1,6,11,4,0,0/0,1,0,0.09,9.1,3,3,3,0.51,20,14,5,1,0,36.36,2017,reg,0,0
6190,Ben Sweat,MIA,D,26,25,2176,1,6,17,4,0,0/0,0,1,0.04,5.9,3,2,4,0.25,28,11,3,3,0,23.53,2017,reg,0,0
6191,David Guzman,POR,M,25,24,2028,1,6,42,9,1,0/1,1,0,0.04,2.4,0,5,1,0.27,61,37,0,11,0,21.43,2017,reg,0,1
6192,Chris Tierney,NE,D-M,26,20,1713,1,5,8,2,0,1/1,1,0,0.05,12.5,2,5,0,0.26,9,9,0,3,0,25.0,2017,reg,1,1
6193,Scott Caldwell,NE,M,33,26,2195,1,5,11,2,1,0/0,1,0,0.04,9.1,2,5,0,0.21,42,42,0,2,0,18.18,2017,reg,0,0
6194,Kemar Lawrence,NYR,D,24,23,2076,1,5,17,4,1,0/0,1,0,0.04,5.9,3,4,1,0.22,25,17,4,7,0,23.53,2017,reg,0,0
6195,Hernan Grana,DAL,D,30,30,2660,1,4,8,2,0,0/0,1,0,0.03,12.5,2,4,0,0.14,24,13,2,8,0,25.0,2017,reg,0,0
6196,Yoshi Yotun,ORL,M,10,10,887,1,4,16,4,0,0/0,1,0,0.1,6.3,1,3,1,0.41,13,33,0,2,0,25.0,2017,reg,0,0
6197,Gustav Svensson,SEA,M,32,30,2645,1,4,17,4,0,0/0,1,0,0.03,5.9,2,3,1,0.14,28,17,1,1,0,23.53,2017,reg,0,0
6198,Scott Sutter,ORL,D,32,30,2729,1,4,17,3,0,0/0,0,1,0.03,5.9,0,2,2,0.13,15,36,1,1,0,17.65,2017,reg,0,0
6199,Mohammed Saeid,COL,M,32,30,2512,1,4,18,4,0,0/0,0,1,0.04,5.6,2,4,0,0.14,20,45,0,2,0,22.22,2017,reg,0,0
6200,Jermaine Jones,LA ,M,20,19,1588,1,4,21,5,0,0/0,1,0,0.06,4.8,0,2,2,0.23,28,31,0,8,1,23.81,2017,reg,0,0
6201,Tommy Thompson,SJ,D,32,16,1534,1,4,42,12,0,0/0,0,1,0.06,2.4,1,4,0,0.23,16,40,0,1,0,28.57,2017,reg,0,0
6202,Diego Chara,POR,M,29,29,2530,1,3,5,2,1,0/0,0,1,0.04,20.0,1,2,1,0.11,57,48,0,8,1,40.0,2017,reg,0,0
6203,Shea Salinas,SJ,M,25,15,1435,1,3,6,1,1,0/0,1,0,0.06,16.7,2,2,1,0.19,19,15,4,3,0,16.67,2017,reg,0,0
6204,Jeremy Ebobisse,POR,F,14,2,317,1,3,6,2,0,0/0,0,1,0.28,16.7,1,1,2,0.85,6,4,4,0,0,33.33,2017,reg,0,0
6205,Leandro Gonzalez Pirez,MIA,D,32,32,2811,1,3,16,6,1,0/0,1,0,0.03,6.3,2,2,1,0.1,46,42,1,10,1,37.5,2017,reg,0,0
6206,Osvaldo Alonso,MIN,M,26,24,2073,1,3,24,6,0,0/0,1,0,0.04,4.2,1,2,1,0.13,42,41,1,4,0,25.0,2017,reg,0,0
6207,Roger Espinoza,SKC,M,30,30,2677,1,3,48,10,0,0/0,0,1,0.03,2.1,2,3,0,0.1,48,43,3,9,1,20.83,2017,reg,0,0
6208,Javier Morales,DAL,M,15,8,757,1,2,7,3,1,0/0,1,0,0.12,14.3,0,0,2,0.24,14,7,0,1,0,42.86,2017,reg,0,0
6209,Niko Hansen,HOU,F,14,3,401,1,2,7,2,1,0/0,1,0,0.22,14.3,1,1,1,0.45,3,5,0,0,0,28.57,2017,reg,0,0
6210,Fabian Herbers,CHI,F,12,4,395,1,2,8,2,0,0/0,0,1,0.23,12.5,0,2,0,0.46,6,7,0,1,0,25.0,2017,reg,0,0
6211,Ashley Cole,LA ,D,29,29,2499,1,2,8,2,0,0/0,1,0,0.04,12.5,0,0,2,0.07,23,30,4,1,1,25.0,2017,reg,0,0
6212,Djordje Mihailovic,CHI,M,17,7,732,1,2,8,1,0,0/0,0,1,0.12,12.5,2,0,2,0.25,11,15,0,0,0,12.5,2017,reg,0,0
6213,Chris Duvall,POR,D,27,25,2210,1,2,11,4,0,0/0,1,0,0.04,9.1,0,1,1,0.08,26,29,5,5,1,36.36,2017,reg,0,0
6214,Chad Marshall,SEA,D,28,27,2366,1,2,15,4,0,0/0,1,0,0.04,6.7,1,1,1,0.08,12,15,1,2,0,26.67,2017,reg,0,0
6215,Kelvin Leerdam,SEA,D,15,14,1290,1,2,16,2,0,0/0,1,0,0.07,6.3,2,2,0,0.14,16,11,2,2,0,12.5,2017,reg,0,0
6216,Matías Pérez García,ORL,F,15,11,971,1,2,17,5,0,0/0,1,0,0.09,5.9,1,2,0,0.19,16,36,2,3,0,29.41,2017,reg,0,0
6217,Seth Sinovic,NE,D,32,32,2857,1,2,17,5,0,0/0,1,0,0.03,5.9,1,2,0,0.06,20,18,7,6,0,29.41,2017,reg,0,0
6218,Bernie Ibini,VAN,M-F,17,7,629,1,2,18,5,1,0/0,0,1,0.14,5.6,1,2,0,0.29,5,13,1,0,0,27.78,2017,reg,0,0
6219,Patrick Nyarko,DC,F-M,14,12,1028,1,2,18,7,1,0/0,1,0,0.09,5.6,0,0,2,0.18,10,29,8,0,0,38.89,2017,reg,0,0
6220,Paul Arriola,DC,M-F,11,11,922,1,2,19,7,0,0/0,1,0,0.1,5.3,1,2,0,0.2,15,19,0,2,0,36.84,2017,reg,0,0
6221,Yangel Herrera,NYC,M,18,14,1223,1,2,20,7,0,0/0,0,1,0.07,5.0,1,0,2,0.15,44,38,0,7,1,35.0,2017,reg,0,0
6222,Juninho,CHI,M,21,17,1528,1,2,26,9,1,0/0,1,0,0.06,3.8,0,1,1,0.12,16,14,0,3,1,34.62,2017,reg,0,0
6223,Joao Pedro,LA ,M,28,26,2306,1,2,28,5,0,0/0,0,1,0.04,3.6,1,0,2,0.08,40,25,1,7,0,17.86,2017,reg,0,0
6224,Tyrone Mears,ATL,D,20,16,1498,1,1,2,1,0,0/0,0,1,0.06,50.0,0,1,0,0.06,19,7,3,2,0,50.0,2017,reg,0,0
6225,Xavier Kouassi,NE,M,23,14,1218,1,1,5,1,0,0/0,0,1,0.07,20.0,0,0,1,0.07,27,21,0,3,2,20.0,2017,reg,0,0
6226,Jonathan Spector,ORL,D,25,25,2176,1,1,6,3,0,0/0,1,0,0.04,16.7,0,1,0,0.04,29,14,0,5,1,50.0,2017,reg,0,0
6227,Jack Elliott,PHI,D,30,29,2621,1,1,7,3,0,0/0,0,1,0.03,14.3,0,1,0,0.03,27,12,0,4,0,42.86,2017,reg,0,0
6228,Jordan Harvey,LAFC,D,28,28,2509,1,1,8,4,0,0/0,1,0,0.04,12.5,1,0,1,0.04,37,22,1,3,0,50.0,2017,reg,0,0
6229,Tony Beltran,RSL,D,21,21,1820,1,1,8,4,0,0/0,0,1,0.05,12.5,0,0,1,0.05,28,27,1,3,0,50.0,2017,reg,0,0
6230,Collen Warner,COL,M,25,12,1283,1,1,8,1,0,0/0,0,1,0.07,12.5,0,0,1,0.07,27,17,0,6,0,12.5,2017,reg,0,0
6231,Kevin Kratz,ATL,M,20,5,590,1,1,8,2,0,0/0,1,0,0.15,12.5,0,1,0,0.15,5,11,1,1,0,25.0,2017,reg,0,0
6232,Adam Jahn,ATL,F,21,1,316,1,1,8,5,0,0/0,0,1,0.28,12.5,0,1,0,0.28,14,2,1,3,0,62.5,2017,reg,0,0
6233,Walker Zimmerman,NSH,D,22,18,1602,1,1,9,3,0,0/0,0,1,0.06,11.1,1,1,0,0.06,20,9,0,0,0,33.33,2017,reg,0,0
6234,Brandon Vazquez,CIN,F,13,0,178,1,1,10,2,0,0/0,0,1,0.51,10.0,1,1,0,0.51,4,5,1,1,1,20.0,2017,reg,0,0
6235,Ambroise Oyongo,MTL,D,11,11,990,1,1,10,3,0,0/0,1,0,0.09,10.0,0,0,1,0.09,12,14,0,0,0,30.0,2017,reg,0,0
6236,Saad Abdul-Salaam,CIN,D,12,10,902,1,1,10,3,0,0/0,1,0,0.1,10.0,0,0,1,0.1,12,10,0,1,0,30.0,2017,reg,0,0
6237,Krisztian Nemeth,NE,F,6,3,177,1,1,10,3,0,0/0,0,1,0.51,10.0,0,1,0,0.51,3,1,0,0,1,30.0,2017,reg,0,0
6238,Roy Miller,POR,D,26,26,2268,1,1,11,2,1,0/0,0,1,0.04,9.1,1,1,0,0.04,25,9,1,8,0,18.18,2017,reg,0,0
6239,Jonathan dos Santos,LA,M,12,11,1004,1,1,11,2,0,0/0,1,0,0.09,9.1,0,0,1,0.09,7,10,0,4,0,18.18,2017,reg,0,0
6240,Caleb Calvert,COL,F,12,3,378,1,1,11,2,0,0/0,0,1,0.24,9.1,1,1,0,0.24,10,1,2,2,1,18.18,2017,reg,0,0
6241,Antonio Mlinar Delamea,NE,D,29,29,2547,1,1,12,2,0,0/0,1,0,0.04,8.3,0,1,0,0.04,38,28,0,6,1,16.67,2017,reg,0,0
6242,Zoltan Stieber,DC,M-F,8,6,526,1,1,13,7,0,0/0,0,1,0.17,7.7,0,0,1,0.17,5,2,2,1,0,53.85,2017,reg,0,0
6243,Jared Jeffrey,DC,M,23,19,1617,1,1,13,6,0,0/0,0,1,0.06,7.7,0,1,0,0.06,47,9,0,4,0,46.15,2017,reg,0,0
6244,Jeff Larentowicz,ATL,M,33,30,2602,1,1,15,4,0,0/0,1,0,0.03,6.7,0,0,1,0.03,41,31,0,6,0,26.67,2017,reg,0,0
6245,Frederic Brillant,DC,D,23,16,1523,1,1,15,5,1,0/0,1,0,0.06,6.7,0,1,0,0.06,10,7,1,3,0,33.33,2017,reg,0,0
6246,Jelle Van Damme,LA ,D,18,18,1503,1,1,16,1,0,0/0,0,1,0.06,6.3,0,0,1,0.06,31,5,1,8,3,6.25,2017,reg,0,0
6247,Sam Nicholson,MIN,F,12,8,639,1,1,19,5,0,0/0,0,1,0.14,5.3,0,0,1,0.14,13,16,0,0,0,26.32,2017,reg,0,0
6248,Tim Parker,RBNY,D,32,32,2880,1,1,20,6,0,0/0,1,0,0.03,5.0,0,1,0,0.03,22,9,1,4,0,30.0,2017,reg,0,0
6249,Dillon Serna,COL,M,19,9,945,1,1,26,6,0,0/0,1,0,0.1,3.8,0,1,0,0.1,7,10,1,0,0,23.08,2017,reg,0,0
6250,Jesus Ferreira,DAL,F,1,0,19,1,0,1,1,0,0/0,1,0,4.74,100.0,0,0,0,0.0,0,0,0,0,0,100.0,2017,reg,0,0
6251,Brad Evans,SEA,D-M,11,6,480,1,0,1,1,0,0/0,1,0,0.19,100.0,0,0,0,0.0,4,5,0,0,1,100.0,2017,reg,0,0
6252,Ashtone Morgan,RSL,D,5,3,283,1,0,1,1,0,0/0,0,1,0.32,100.0,0,0,0,0.0,2,2,0,1,0,100.0,2017,reg,0,0
6253,Michael Ciani,LA ,D,6,6,540,1,0,3,1,0,0/0,0,1,0.17,33.3,0,0,0,0.0,6,2,0,3,0,33.33,2017,reg,0,0
6254,Jose Hernandez,RSL,M,7,1,160,1,0,3,1,0,0/0,0,1,0.56,33.3,0,0,0,0.0,5,2,0,1,0,33.33,2017,reg,0,0
6255,Miguel Camargo,NYC,M,8,2,176,1,0,3,1,0,0/0,1,0,0.51,33.3,0,0,0,0.0,4,4,0,1,0,33.33,2017,reg,0,0
6256,Eriq Zavaleta,TOR,D,29,27,2356,1,0,4,2,1,0/0,1,0,0.04,25.0,0,0,0,0.0,27,7,0,4,0,50.0,2017,reg,0,0
6257,Jack Barmby,POR,M-D,10,0,99,1,0,5,2,0,0/0,1,0,0.91,20.0,0,0,0,0.0,6,2,0,3,0,40.0,2017,reg,0,0
6258,Omar Holness,RSL,M,9,3,261,1,0,5,1,0,0/0,0,1,0.34,20.0,0,0,0,0.0,7,2,0,1,0,20.0,2017,reg,0,0
6259,Lalas Abubakar,COL,D,7,6,528,1,0,5,1,0,0/0,0,1,0.17,20.0,0,0,0,0.0,4,1,0,2,1,20.0,2017,reg,0,0
6260,Servando Carrasco,ORL,M,15,9,833,1,0,5,1,1,0/0,1,0,0.11,20.0,0,0,0,0.0,11,4,0,2,1,20.0,2017,reg,0,0
6261,Daigo Kobayashi,NE,M,12,4,507,1,0,5,2,0,0/0,0,1,0.18,20.0,0,0,0,0.0,5,4,0,0,0,40.0,2017,reg,0,0
6262,Bobby Boswell,ATL,D,11,10,892,1,0,6,3,0,0/0,1,0,0.1,16.7,0,0,0,0.0,9,2,0,0,0,50.0,2017,reg,0,0
6263,Richie Marquez,PHI,D,15,13,1212,1,0,6,1,0,0/0,1,0,0.07,16.7,0,0,0,0.0,10,4,0,0,0,16.67,2017,reg,0,0
6264,Kyle Fisher,MTL,D,20,15,1455,1,0,6,1,1,0/0,1,0,0.06,16.7,0,0,0,0.0,12,5,0,3,0,16.67,2017,reg,0,0
6265,Jay Chapman,MIA,M,12,3,385,1,0,6,1,0,0/0,1,0,0.23,16.7,0,0,0,0.0,7,2,1,0,0,16.67,2017,reg,0,0
6266,Dylan Remick,HOU,D,14,13,1167,1,0,6,1,0,0/0,1,0,0.08,16.7,0,0,0,0.0,10,6,0,1,0,16.67,2017,reg,0,0
6267,Khiry Shelton,SKC,F,15,3,502,1,0,7,2,0,0/0,0,1,0.18,14.3,0,0,0,0.0,9,6,0,0,0,28.57,2017,reg,0,0
6268,Sebastian Hines,ORL,D,6,5,443,1,0,7,2,1,0/0,1,0,0.2,14.3,0,0,0,0.0,4,3,0,1,1,28.57,2017,reg,0,0
6269,Chris Wingert,RSL,D,23,20,1755,1,0,7,3,0,0/0,0,1,0.05,14.3,0,0,0,0.0,32,12,0,5,0,42.86,2017,reg,0,0
6270,Cristian Lobato,KC ,D,10,6,547,1,0,7,3,0,0/0,0,1,0.16,14.3,0,0,0,0.0,3,3,0,0,0,42.86,2017,reg,0,0
6271,Aaron Maund,RSL,D,15,14,1179,1,0,8,3,1,0/0,1,0,0.08,12.5,0,0,0,0.0,13,2,0,2,0,37.5,2017,reg,0,0
6272,Lawrence Olum,POR,D,30,22,2103,1,0,10,2,0,0/0,1,0,0.04,10.0,0,0,0,0.0,12,7,1,3,0,20.0,2017,reg,0,0
6273,Kortne Ford,COL,D,20,19,1727,1,0,10,3,1,0/0,1,0,0.05,10.0,0,0,0,0.0,22,11,0,4,0,30.0,2017,reg,0,0
6274,Axel Sjöberg,CLB,D,19,19,1637,1,0,11,2,0,0/0,1,0,0.05,9.1,0,0,0,0.0,23,6,0,1,1,18.18,2017,reg,0,0
6275,Ariel Lassiter,LA ,F,14,0,258,1,0,11,3,0,0/0,0,1,0.35,9.1,0,0,0,0.0,2,5,0,0,0,27.27,2017,reg,0,0
6276,Benjamin Angoua,NE,D,26,26,2311,1,0,11,3,1,0/0,1,0,0.04,9.1,0,0,0,0.0,43,17,0,6,0,27.27,2017,reg,0,0
6277,Benoit Cheyrou,TOR,M,13,7,615,1,0,11,4,0,0/0,0,1,0.15,9.1,0,0,0,0.0,5,9,0,1,0,36.36,2017,reg,0,0
6278,Jay Simpson,PHI,F,22,4,472,1,0,13,6,0,0/0,1,0,0.19,7.7,0,0,0,0.0,6,6,1,0,0,46.15,2017,reg,0,0
6279,Sean Okoli,NYC,F,16,3,421,1,0,13,6,0,0/0,0,1,0.21,7.7,0,0,0,0.0,11,6,1,1,0,46.15,2017,reg,0,0
6280,Oguchi Onyewu,PHI,D,22,22,1929,1,0,14,6,0,0/0,0,1,0.05,7.1,0,0,0,0.0,44,17,1,6,0,42.86,2017,reg,0,0
6281,Antonio Nocerino,ORL,M,31,28,2234,1,0,17,5,0,0/0,1,0,0.04,5.9,0,0,0,0.0,23,11,1,2,1,29.41,2017,reg,0,0
6282,Juan David Cabezas,HOU,M,27,26,2231,1,0,20,4,0,0/0,1,0,0.04,5.0,0,0,0,0.0,63,16,0,7,0,20.0,2017,reg,0,0
6283,Jose Guillermo Ortiz,DC,F,16,7,669,1,0,21,8,0,0/0,1,0,0.13,4.8,0,0,0,0.0,9,8,8,1,0,38.1,2017,reg,0,0
6284,Aaron Long,RBNY,D,31,30,2659,1,0,22,8,0,0/0,0,1,0.03,4.5,0,0,0,0.0,20,20,0,3,0,36.36,2017,reg,0,0
6285,Dominic Oduro,MTL,M,25,17,1439,1,0,26,10,0,0/0,0,1,0.06,3.8,0,0,0,0.0,10,27,13,1,0,38.46,2017,reg,0,0
6286,Graham Zusi,SKC,M,24,23,2114,0,8,37,11,0,0/0,0,0,0.0,0.0,3,7,1,0.34,16,17,1,3,1,29.73,2017,reg,0,0
6287,Christian Bolaños,VAN,M,21,18,1626,0,7,29,7,0,0/0,0,0,0.0,0.0,3,5,2,0.39,12,30,2,0,1,24.14,2017,reg,0,0
6288,Ibson,MIN,M,31,29,2660,0,6,17,7,0,0/0,0,0,0.0,0.0,3,3,3,0.2,32,75,2,6,0,41.18,2017,reg,0,0
6289,Jake Nerwinski,VAN,D,19,19,1707,0,5,2,1,0,0/0,0,0,0.0,0.0,2,5,0,0.26,16,21,0,2,0,50.0,2017,reg,0,0
6290,Steven Beitashour,TOR,D,22,17,1589,0,5,4,1,0,0/0,0,0,0.0,0.0,1,3,2,0.28,15,10,0,1,0,25.0,2017,reg,0,0
6291,Wil Trapp,MIA,M,34,34,3035,0,5,8,3,0,0/0,0,0,0.0,0.0,2,2,3,0.15,37,41,0,3,0,37.5,2017,reg,0,0
6292,Dax McCarty,NSH,M,28,28,2465,0,5,15,3,0,0/0,0,0,0.0,0.0,1,2,3,0.18,26,57,2,4,0,20.0,2017,reg,0,0
6293,Patrick Doody,CHI,D,7,7,629,0,4,1,0,0,0/0,0,0,0.0,0.0,1,3,1,0.57,4,3,0,0,0,0.0,2017,reg,0,0
6294,Matt Besler,SKC,D,26,26,2339,0,4,4,1,0,0/0,0,0,0.0,0.0,2,1,3,0.15,22,14,2,2,0,25.0,2017,reg,0,0
6295,Johan Kappelhof,CHI,D,33,33,2881,0,4,4,1,0,0/0,0,0,0.0,0.0,1,4,0,0.12,29,6,0,5,1,25.0,2017,reg,0,0
6296,Boniek Garcia,HOU,M,20,12,1165,0,4,6,2,0,0/0,0,0,0.0,0.0,1,3,1,0.31,21,17,0,4,0,33.33,2017,reg,0,0
6297,Vytas,POR,D,23,19,1780,0,4,8,2,0,0/0,0,0,0.0,0.0,2,4,0,0.2,25,9,0,5,0,25.0,2017,reg,0,0
6298,Alexander Ring,NYC,M,29,29,2604,0,4,22,6,0,0/0,0,0,0.0,0.0,0,1,3,0.14,55,34,2,10,0,27.27,2017,reg,0,0
6299,Carlos Gruezo,DAL,M,31,30,2613,0,4,22,4,0,0/0,0,0,0.0,0.0,2,3,1,0.14,61,25,1,6,1,18.18,2017,reg,0,0
6300,Zarek Valentin,HOU,D,19,17,1547,0,3,1,0,0,0/0,0,0,0.0,0.0,1,2,1,0.17,13,5,0,2,0,0.0,2017,reg,0,0
6301,Sheanon Williams,VAN,D-M,15,15,1349,0,3,2,0,0,0/0,0,0,0.0,0.0,1,2,1,0.2,12,20,0,3,0,0.0,2017,reg,0,0
6302,Ronald Matarrita,NYC,D,12,8,696,0,3,2,0,0,0/0,0,0,0.0,0.0,2,2,1,0.39,5,3,1,3,0,0.0,2017,reg,0,0
6303,Jose Villarreal,LA ,M,12,4,389,0,3,5,2,0,0/0,0,0,0.0,0.0,0,2,1,0.69,6,15,3,0,0,40.0,2017,reg,0,0
6304,Andrew Farrell,NE,D,30,30,2664,0,3,6,1,0,0/0,0,0,0.0,0.0,1,3,0,0.1,20,23,1,5,1,16.67,2017,reg,0,0
6305,Hector Jimenez,CLB,M,19,15,1366,0,3,6,1,0,0/0,0,0,0.0,0.0,2,2,1,0.2,11,15,0,1,0,16.67,2017,reg,0,0
6306,RJ Allen,NYC,D,15,10,1009,0,3,6,0,0,0/0,0,0,0.0,0.0,1,1,2,0.27,24,4,0,3,0,0.0,2017,reg,0,0
6307,A.J. DeLaGarza,MIA,D,30,30,2623,0,3,8,2,0,0/0,0,0,0.0,0.0,1,2,1,0.1,26,20,0,8,0,25.0,2017,reg,0,0
6308,Hernan Bernardello,MTL,M,22,17,1496,0,3,9,3,0,0/0,0,0,0.0,0.0,2,2,1,0.18,27,21,0,5,0,33.33,2017,reg,0,0
6309,Donny Toia,RSL,D,30,29,2545,0,3,13,2,0,0/0,0,0,0.0,0.0,1,1,2,0.11,43,7,0,4,0,15.38,2017,reg,0,0
6310,Cristian Higuita,ORL,M,26,18,1554,0,3,14,2,0,0/0,0,0,0.0,0.0,1,3,0,0.17,42,62,0,8,0,14.29,2017,reg,0,0
6311,Artur,CLB,M,24,19,1702,0,3,19,3,0,0/0,0,0,0.0,0.0,2,3,0,0.16,32,20,2,1,0,15.79,2017,reg,0,0
6312,Danilo Acosta,LA,D,17,16,1411,0,2,2,0,0,0/0,0,0,0.0,0.0,0,1,1,0.13,23,14,0,2,1,0.0,2017,reg,0,0
